"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"C5,C11,C3,C4,C9,C6,C7,C8";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";8;"0.1uf";;;
2;"TP3,TP4";"TestPoint_Pad_1.5x1.5mm";2;"A-Left";;;
3;"U4";"TSSOP-24_4.4x7.8mm_P0.65mm";1;"SN74LVC8T245PWR";;;
4;"TP8";"TestPoint_Pad_1.5x1.5mm";1;"DINO";;;
5;"TP9";"TestPoint_Pad_1.5x1.5mm";1;"LRCLKO";;;
6;"C1,C2";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";2;"10uf";;;
7;"C12,C10";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";2;"2.2uf";;;
8;"R5,R6";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";2;"100k";;;
9;"U1";"SOT-23-5";1;"TLV73333PDBV";;;
10;"TP7";"TestPoint_Pad_1.5x1.5mm";1;"BCLK";;;
11;"U3";"TSSOP-16_4.4x5mm_P0.65mm";1;"SN74HC595PWR";;;
12;"R8,R7";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";2;"24k";;;
13;"C13,C14";"C_1206_3216Metric_Pad1.33x1.80mm_HandSolder";2;"0.1uf";;;
14;"C16,C15";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";2;"2.2nf";;;
15;"R2,R3,R4,R1";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";4;"470";;;
16;"TP1";"TestPoint_Pad_1.5x1.5mm";1;"VCC";;;
17;"U5";"TSSOP-20_4.4x6.5mm_P0.65mm";1;"PCM5102A";;;
18;"TP6";"TestPoint_Pad_1.5x1.5mm";1;"LRCLK";;;
19;"TP11,TP2";"TestPoint_Pad_1.5x1.5mm";2;"GND";;;
20;"TP10";"TestPoint_Pad_1.5x1.5mm";1;"BCLKO";;;
21;"TP5";"TestPoint_Pad_1.5x1.5mm";1;"DIN";;;
22;"U2";"TSSOP-14_4.4x5mm_P0.65mm";1;"CD74HCT14PWR";;;
23;"JP1,JP2";"SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm";2;"~";;;
